timestamp	step	train_cls_loss
1624959773439	0	0.10365942865610123
1624959775402	1	0.10313603281974792
1624959777520	2	0.10316772758960724
1624959779553	3	0.10293745249509811
1624959781869	4	0.10273273289203644
1624959783935	5	0.1026282012462616
1624959786051	6	0.10227791965007782
1624959788060	7	0.10163749009370804
1624959790043	8	0.101748526096344
1624959792104	9	0.10159564763307571
1624959794107	10	0.10105830430984497
1624959796140	11	0.10064823925495148
1624959798084	12	0.1009119525551796
1624959799992	13	0.10060706734657288
1624959801928	14	0.10132026672363281
1624959803938	15	0.10017289966344833
1624959805978	16	0.09963885694742203
1624959807917	17	0.10006900876760483
1624959809843	18	0.0991567000746727
1624959814667	19	0.09974309056997299
